ISS.UTCGregorian,ISS.UTCModJulian,ISS.ElapsedSecs,ISS.ICRF.X,ISS.ICRF.Y,ISS.ICRF.Z,Earth.ICRF.X,Earth.ICRF.Y,Earth.ICRF.Z,Sun.ICRF.X,Sun.ICRF.Y,Sun.ICRF.Z,SolarSystemBarycenter.ICRF.X,SolarSystemBarycenter.ICRF.Y,SolarSystemBarycenter.ICRF.Z
13 Sep 2024 13:22:04.469,30567.05699616581,67342.46872655349,147644755.1868513,-22444807.89799753,-9694859.122064611,147639823.008059,-22446069.22225785,-9699370.493017528,-969769.9600167572,-621039.1348504759,-238086.9481613338,0,0,0
13 Sep 2024 13:23:36.172,30567.05805755025,67434.17234143708,147645224.6436258,-22441722.96440613,-9694107.717642764,147640210.3399184,-22443604.90028364,-9698302.295645891,-969768.9155428112,-621039.8296490014,-238087.2661921624,0,0,0
13 Sep 2024 13:25:07.870,30567.05911886974,67525.87034599856,147645640.7575992,-22438658.20426979,-9693401.041720293,147640597.5995269,-22441140.72216833,-9697234.160660112,-969767.8711318672,-621040.5244035721,-238087.584202921,0,0,0
13 Sep 2024 13:26:39.560,30567.06018009775,67617.56044600625,147646003.2166592,-22435620.07205055,-9692735.257499497,147640984.7772061,-22438676.74956656,-9696166.114785319,-969766.8268100917,-621041.2190968022,-238087.9021856561,0,0,0
13 Sep 2024 13:28:11.243,30567.06124123816,67709.24297684105,147646312.2909149,-22432614.65236861,-9692106.072803138,147641371.8743844,-22436212.97346822,-9695098.154115936,-969765.7825736701,-621041.9137312248,-238088.2201415263,0,0,0
13 Sep 2024 13:29:42.918,30567.06230228873,67800.91774613829,147646568.8148763,-22429647.70078843,-9691508.810783029,147641758.8902617,-22433749.39904524,-9694030.280893806,-969764.7384248674,-621042.6083054058,-238088.5380698722,0,0,0
13 Sep 2024 13:31:14.584,30567.0633632424,67892.58414317155,147646774.1807943,-22426724.57758672,-9690938.458032094,147642145.8222724,-22431286.04271227,-9692962.502234094,-969763.6943705082,-621043.3028146923,-238088.8559685703,0,0,0
13 Sep 2024 13:32:46.246,30567.06442414729,67984.24632641254,147646930.3327444,-22423850.02779057,-9690389.687268473,147642532.6879797,-22428822.79272065,-9691894.769697668,-969762.6503633261,-621043.9972906113,-238089.1738520432,0,0,0
13 Sep 2024 13:34:17.905,30567.06548500877,68075.90475791367,147647039.726131,-22421028.40064081,-9689856.966667341,147642919.48934,-22426359.63665529,-9690827.077903017,-969761.6063979864,-621044.6917366609,-238089.4917218946,0,0,0
13 Sep 2024 13:35:49.562,30567.06654585636,68167.56198965013,147647105.3141108,-22418263.41979719,-9689334.582544679,147643306.2371265,-22423896.50593776,-9689759.397123795,-969760.5624455214,-621045.386172168,-238089.8095869739,0,0,0
