ISS.UTCGregorian           ISS.UTCModJulian          ISS.ElapsedSecs           ISS.Earth.BetaAngle       
12 Sep 2024 22:06:53.061   30566.42144746221         12431.06073474046         51.39239677927605         
12 Sep 2024 22:08:24.713   30566.4225082526          12522.71302440204         51.39119126387872         
12 Sep 2024 22:09:56.370   30566.423569102           12614.37041298486         51.3891863239509          
12 Sep 2024 22:11:28.037   30566.42463005843         12706.03704827372         51.38634246983811         
12 Sep 2024 22:12:59.715   30566.42569115089         12797.71543729585         51.3826554970066          
12 Sep 2024 22:14:31.408   30566.42675241304         12889.40848689526         51.37815656112231         
12 Sep 2024 22:16:03.118   30566.42781387013         12981.11837971956         51.37291088292314         
12 Sep 2024 22:17:34.845   30566.42887552626         13072.84546875162         51.36701511014761         
12 Sep 2024 22:19:06.591   30566.42993740009         13164.59136771737         51.36059312123733         
12 Sep 2024 22:20:38.358   30566.43099950897         13256.35757530108         51.35379094975565         
12 Sep 2024 22:22:10.141   30566.43206181669         13348.14096211921         51.34677108705488         
12 Sep 2024 22:23:41.940   30566.43312430354         13439.93982643588         51.33970529295045         
12 Sep 2024 22:25:13.752   30566.43418694836         13531.75233858638         51.33276752185765         
12 Sep 2024 22:26:45.575   30566.43524971559         13623.5754270223          51.32612670091329         
12 Sep 2024 22:28:17.405   30566.43631255612         13715.40484934812         51.31993956761767         
12 Sep 2024 22:29:49.238   30566.43737544267         13807.2382468963          51.31434378375975         
12 Sep 2024 22:31:21.069   30566.43843829581         13899.06875803135         51.30945240098697         
12 Sep 2024 22:32:52.892   30566.43950106401         13990.89193039108         51.30534849465448         
12 Sep 2024 22:34:24.703   30566.44056369478         14082.70322957542         51.30208168145126         
12 Sep 2024 22:35:56.499   30566.4416261417          14174.49864327209         51.29966587365739         
12 Sep 2024 22:37:28.275   30566.44268836965         14266.27513796557         51.29807860937446         
12 Sep 2024 22:39:00.028   30566.4437503258          14358.02814908093         51.2972620050255          
12 Sep 2024 22:40:31.754   30566.44481196624         14449.75388370221         51.29712516198168         
12 Sep 2024 22:42:03.451   30566.44587327231         14541.4507277892          51.29754813511625         
12 Sep 2024 22:43:35.118   30566.44693423772         14633.11813913751         51.29838718573575         
12 Sep 2024 22:45:06.755   30566.44799485254         14724.75525996415         51.29948101928585         
12 Sep 2024 22:46:38.364   30566.44905513886         14816.36399725685         51.30065781723469         
12 Sep 2024 22:48:09.945   30566.45011510732         14907.94527292019         51.30174261513257         
12 Sep 2024 22:49:41.501   30566.4511747836          14999.50130323414         51.3025648382752          
12 Sep 2024 22:51:13.037   30566.45223421926         15091.03654464707         51.30296555807318         
12 Sep 2024 22:52:44.555   30566.45329346141         15182.55506573478         51.30280414834059         
12 Sep 2024 22:54:16.060   30566.45435254763         15274.06011563726         51.30196416322558         
12 Sep 2024 22:55:47.558   30566.45541154996         15365.55791697465         51.30035808322427         
12 Sep 2024 22:57:19.053   30566.45647052529         15457.0533847902          51.29793085245669         
12 Sep 2024 22:58:50.551   30566.45752952707         15548.5511392937          51.29466204481356         
12 Sep 2024 23:00:22.056   30566.45858860684         15640.05563096143         51.29056657647717         
12 Sep 2024 23:01:53.572   30566.45964782492         15731.57207344193         51.28569390966992         
12 Sep 2024 23:03:25.103   30566.46070721259         15823.10316769872         51.2801260796849          
12 Sep 2024 23:04:56.652   30566.46176680872         15914.65227351291         51.27397409484117         
12 Sep 2024 23:06:28.220   30566.46282662531         16006.22042720206         51.26737350288423         
12 Sep 2024 23:07:59.810   30566.46388669071         16097.81007732963         51.2604785288936          
12 Sep 2024 23:09:31.421   30566.46494700131         16189.42091334611         51.25345599467272         
12 Sep 2024 23:11:03.052   30566.46600755163         16281.05246062623         51.24647822644262         
12 Sep 2024 23:12:34.704   30566.46706833695         16372.70431275247         51.23971586977897         
12 Sep 2024 23:14:06.374   30566.46812932435         16464.37362417346         51.2333309351568          
12 Sep 2024 23:15:38.059   30566.46919049841         16556.05906248093         51.22746968578648         
12 Sep 2024 23:17:09.756   30566.47025180834         16647.7562403772          51.22225671943988         
12 Sep 2024 23:18:41.464   30566.47131323799         16739.46376290405         51.21778924610696         
12 Sep 2024 23:20:13.177   30566.47237473784         16831.17734963307         51.21413319726145         
12 Sep 2024 23:21:44.895   30566.47343627922         16922.89452496916         51.21132006301168         
12 Sep 2024 23:23:16.612   30566.47449781969         17014.61162109626         51.20934556754356         
12 Sep 2024 23:24:48.326   30566.47555933143         17106.32623565616         51.20816967839234         
12 Sep 2024 23:26:20.036   30566.47662078319         17198.03566768533         51.20771829736639         
12 Sep 2024 23:27:51.738   30566.47768215694         17289.7383600357          51.20788638491121         
12 Sep 2024 23:29:23.432   30566.47874343125         17381.43246009713         51.20854246770235         
12 Sep 2024 23:30:55.118   30566.47980460457         17473.11783491168         51.20953430341612         
12 Sep 2024 23:32:26.793   30566.48086566499         17564.79345507687         51.21069541721756         
12 Sep 2024 23:33:58.462   30566.48192663911         17656.46161891054         51.21185230279232         
12 Sep 2024 23:35:30.122   30566.48298752139         17748.12184801558         51.21283177300342         
12 Sep 2024 23:37:01.777   30566.48404834096         17839.7766594775          51.21346840126047         
12 Sep 2024 23:38:33.429   30566.48510913186         17931.42899282975         51.2136114667914          
12 Sep 2024 23:40:05.081   30566.48616991482         18023.08064096142         51.21313127284169         
12 Sep 2024 23:41:36.735   30566.48723073332         18114.73535906989         51.21192453094541         
12 Sep 2024 23:43:08.395   30566.48829161036         18206.39513555216         51.20991863034158         
12 Sep 2024 23:44:40.065   30566.48935260891         18298.06541005382         51.20707447943173         
12 Sep 2024 23:46:11.747   30566.49041374229         18389.74733361974         51.20338824095673         
12 Sep 2024 23:47:43.445   30566.49147505308         18481.44458632451         51.19889125996194         
12 Sep 2024 23:49:15.157   30566.49253654471         18573.15746268723         51.19364897832946         
12 Sep 2024 23:50:46.889   30566.49359824969         18664.88877368392         51.18775794379357         
12 Sep 2024 23:52:18.639   30566.49466017818         18756.63939501392         51.181342062425           
12 Sep 2024 23:53:50.409   30566.49572232496         18848.40887688333         51.17454750614711         
12 Sep 2024 23:55:22.195   30566.49678466957         18940.19545123447         51.16753670152221         
12 Sep 2024 23:56:53.998   30566.4978472025          19031.99829643127         51.16048142523383         
12 Sep 2024 23:58:25.814   30566.49890988777         19123.81430320675         51.15355587602904         
12 Sep 2024 23:59:57.640   30566.49997268252         19215.63977011247         51.14692920351317         
13 Sep 2024 00:01:29.472   30566.50103555138         19307.47163911583         51.14075821836659         
13 Sep 2024 00:03:01.306   30566.50209844693         19399.30581523804         51.13518076472269         
13 Sep 2024 00:04:33.138   30566.50316131791         19491.13786780508         51.13030965393315         
13 Sep 2024 00:06:04.962   30566.50422409859         19582.96211797278         51.12622770659559         
13 Sep 2024 00:07:36.773   30566.50528672857         19674.77334894938         51.12298392218214         
13 Sep 2024 00:09:08.568   30566.50634917032         19766.56831599539         51.1205912002548          
13 Sep 2024 00:10:40.343   30566.50741137154         19858.34250136977         51.11902578675766         
13 Sep 2024 00:12:12.093   30566.50847330023         19950.09314030176         51.11822815097374         
13 Sep 2024 00:13:43.817   30566.50953491636         20041.8167736847          51.11810559833101         
13 Sep 2024 00:15:15.511   30566.51059619717         20133.51143606706         51.11853630725437         
13 Sep 2024 00:16:47.177   30566.51165713589         20225.17654123949         51.11937472278663         
13 Sep 2024 00:18:18.813   30566.51271773749         20316.81251950795         51.12045797669231         
13 Sep 2024 00:19:50.420   30566.51377801192         20408.42023022706         51.12161303125755         
13 Sep 2024 00:21:22.002   30566.51483798141         20500.0015942147          51.12266424080951         
13 Sep 2024 00:22:53.558   30566.51589765962         20591.55779174762         51.12344094583317         
13 Sep 2024 00:24:25.094   30566.51695710544         20683.09391011717         51.12378483128477         
13 Sep 2024 00:25:56.613   30566.5180163546          20774.61303721648         51.12355657081651         
13 Sep 2024 00:27:28.121   30566.51907547113         20866.12070541596         51.12264164842505         
13 Sep 2024 00:28:59.621   30566.52013449852         20957.62067242758         51.12095505328633         
13 Sep 2024 00:30:31.118   30566.52119350072         21049.11846276373         51.11844463602701         
13 Sep 2024 00:32:02.619   30566.52225253027         21140.61861553928         51.11509312212703         
13 Sep 2024 00:33:34.126   30566.52331163877         21232.1255900315          51.11091862325705         
13 Sep 2024 00:35:05.644   30566.52437087801         21323.64386029076         51.10597368818606         
13 Sep 2024 00:36:37.177   30566.5254302917          21415.17720320262         51.10034300590558         
13 Sep 2024 00:38:08.728   30566.52648990987         21506.72821254702         51.09413983723625         
13 Sep 2024 00:39:40.300   30566.52754976541         21598.29973198939         51.08750117806716         
13 Sep 2024 00:41:11.892   30566.52860986253         21689.89212237066         51.08058226276707         
13 Sep 2024 00:42:43.506   30566.5296702099          21781.50613586186         51.07354994273904         
13 Sep 2024 00:44:15.141   30566.53073079907         21873.1410400942          51.06657592177746         
13 Sep 2024 00:45:46.796   30566.53179162272         21964.79620296741         51.05982952306434         
13 Sep 2024 00:47:18.469   30566.53285265396         22056.4693019609          51.05347077503954         
13 Sep 2024 00:48:50.157   30566.53391385753         22148.15729035763         51.04764362746965         
13 Sep 2024 00:50:21.856   30566.53497518319         22239.85582737951         51.04246989540066         
13 Sep 2024 00:51:53.564   30566.5360366173          22331.56373526435         51.03804383816789         
13 Sep 2024 00:53:25.277   30566.537098117           22423.2773091062          51.03442844836384         
13 Sep 2024 00:54:56.992   30566.53815963468         22514.99243632425         51.03165255072705         
13 Sep 2024 00:56:28.707   30566.53922114077         22606.70656305738         51.02970945380025         
13 Sep 2024 00:58:00.417   30566.54028260682         22698.41722942656         51.02855725132638         
13 Sep 2024 00:59:32.121   30566.54134398746         22790.1205171016          51.02812056415376         
13 Sep 2024 01:01:03.817   30566.54240528919         22881.81698651752         51.0282937127504          
13 Sep 2024 01:02:35.504   30566.54346648102         22973.50396059919         51.02894527552946         
13 Sep 2024 01:04:07.182   30566.5445275669          23065.181780071           51.02992370060583         
13 Sep 2024 01:05:38.851   30566.5455885579          23156.85140235582         51.03106379287241         
13 Sep 2024 01:07:10.513   30566.5466494519          23248.51264451863         51.03219371995343         
13 Sep 2024 01:08:42.167   30566.54771026378         23340.16679056222         51.03314233420151         
13 Sep 2024 01:10:13.817   30566.54877102734         23431.81676273234         51.03374638649285         
13 Sep 2024 01:11:45.465   30566.54983177493         23523.46535377437         51.03385733136439         
13 Sep 2024 01:13:17.115   30566.55089253118         23615.11469447287         51.03334750921783         
13 Sep 2024 01:14:48.768   30566.55195333204         23706.76788875135         51.03211541533837         
13 Sep 2024 01:16:20.427   30566.5530141998          23798.42686277116         51.03008987652848         
13 Sep 2024 01:17:52.096   30566.55407518212         23890.09573571384         51.02723287259906         
13 Sep 2024 01:19:23.778   30566.55513631783         23981.77786075976         51.02354108982028         
13 Sep 2024 01:20:55.475   30566.55619762662         24073.47494027345         51.01904611060118         
13 Sep 2024 01:22:27.189   30566.55725913361         24165.18914432963         51.01381305405889         
13 Sep 2024 01:23:58.921   30566.55832084443         24256.92095886916         51.00793804827294         
13 Sep 2024 01:25:30.671   30566.55938276774         24348.67113260552         51.00154423211211         
13 Sep 2024 01:27:02.441   30566.56044491618         24440.44075843412         50.9947767194144          
13 Sep 2024 01:28:34.228   30566.56150727239         24532.22833452746         50.987796883873           
13 Sep 2024 01:30:06.032   30566.56256980958         24624.03154810891         50.98077559131332         
13 Sep 2024 01:31:37.848   30566.56363249992         24715.84799304837         50.97388601913916         
13 Sep 2024 01:33:09.674   30566.56469530435         24807.67429573461         50.96729641445447         
13 Sep 2024 01:34:41.506   30566.56575817295         24899.50614336412         50.9611628901302          
13 Sep 2024 01:36:13.340   30566.56682106461         24991.33998284815         50.9556225366989          
13 Sep 2024 01:37:45.171   30566.56788391819         25083.17053138744         50.95078753609267         
13 Sep 2024 01:39:16.993   30566.56894667437         25174.99266585801         50.94673999256483         
13 Sep 2024 01:40:48.802   30566.57000928021         25266.80181005504         50.94352816052554         
13 Sep 2024 01:42:20.594   30566.5710716856          25358.59363577329         50.94116417370109         
13 Sep 2024 01:43:52.365   30566.57213385163         25450.36478071706         50.93962334144341         
13 Sep 2024 01:45:24.111   30566.57319573382         25542.11140199332         50.93884514137911         
13 Sep 2024 01:46:55.831   30566.5742573016          25633.8308586739          50.93873577651325         
13 Sep 2024 01:48:27.521   30566.57531853142         25725.52111521363         50.93917230275959         
13 Sep 2024 01:49:59.182   30566.57637942583         25817.18239226611         50.94000808110271         
13 Sep 2024 01:51:30.814   30566.5774399758          25908.8139096857          50.9410792538555          
13 Sep 2024 01:53:02.417   30566.57850020224         26000.41747356299         50.94221201900591         
13 Sep 2024 01:54:33.996   30566.57956013363         26091.99554566294         50.94323025942023         
13 Sep 2024 01:56:05.551   30566.58061980146         26183.55084612267         50.94396322199707         
13 Sep 2024 01:57:37.087   30566.58167924431         26275.08670863463         50.94425290494079         
13 Sep 2024 01:59:08.606   30566.5827384898          26366.60551921232         50.94396081562354         
13 Sep 2024 02:00:40.114   30566.58379761227         26458.11370038427         50.94297377910054         
13 Sep 2024 02:02:11.616   30566.584856662           26549.61559701478         50.94120859759821         
13 Sep 2024 02:03:43.116   30566.58591569111         26641.11571207177         50.93861540140507         
13 Sep 2024 02:05:14.619   30566.5869747617          26732.61941102101         50.93517950505598         
13 Sep 2024 02:06:46.130   30566.58803391115         26824.12992351456         50.93092191549022         
13 Sep 2024 02:08:17.651   30566.58909318626         26915.65129298251         50.92589815916581         
13 Sep 2024 02:09:49.188   30566.59015264231         27007.18829553807         50.92019574677046         
13 Sep 2024 02:11:20.742   30566.59121229733         27098.74248927226         50.91393064003359         
13 Sep 2024 02:12:52.316   30566.59227217617         27190.31602100004         50.90724212886661         
13 Sep 2024 02:14:23.911   30566.59333230169         27281.91086654551         50.90028701861258         
13 Sep 2024 02:15:55.527   30566.59439267356         27373.52699573385         50.89323323343663         
13 Sep 2024 02:17:27.164   30566.59545329238         27465.16446199967         50.88625267683746         
13 Sep 2024 02:18:58.821   30566.59651413228         27556.82102926075         50.8795142476795          
13 Sep 2024 02:20:30.496   30566.59757518393         27648.49589159712         50.87317650761998         
13 Sep 2024 02:22:02.185   30566.5986364038          27740.18528846791         50.86738133705195         
13 Sep 2024 02:23:33.886   30566.59969775733         27831.88623350579         50.86224767418456         
13 Sep 2024 02:25:05.595   30566.60075920647         27923.59543890925         50.85786654463022         
13 Sep 2024 02:26:37.310   30566.60182071965         28015.31017794041         50.85429713506554         
13 Sep 2024 02:28:09.025   30566.60288223955         28107.02549720882         50.85156434118436         
13 Sep 2024 02:29:40.739   30566.60394373404         28198.73862125678         50.8496575084641          
13 Sep 2024 02:31:12.447   30566.60500517262         28290.44691481395         50.84853098238768         
13 Sep 2024 02:32:44.149   30566.60606653611         28382.14872046374         50.84810606278653         
13 Sep 2024 02:34:15.842   30566.6071278048          28473.84233521298         50.84827441143697         
13 Sep 2024 02:35:47.526   30566.60818895845         28565.52601017756         50.8489027095935          
13 Sep 2024 02:37:19.200   30566.60924999764         28657.19979596324         50.84983841650394         
13 Sep 2024 02:38:50.864   30566.61031092921         28748.86428412283         50.85091632067555         
13 Sep 2024 02:40:22.520   30566.61137175783         28840.51987635903         50.85196558086347         
13 Sep 2024 02:41:54.169   30566.61243251561         28932.16934875818         50.85281699826625         
13 Sep 2024 02:43:25.815   30566.61349323351         29023.81537525216         50.8533100941256          
13 Sep 2024 02:44:57.459   30566.61455392597         29115.45920432545         50.85329980130611         
13 Sep 2024 02:46:29.106   30566.61561465016         29207.10577365244         50.85266245428381         
13 Sep 2024 02:48:00.756   30566.61667542037         29298.75632040203         50.85130084641043         
13 Sep 2024 02:49:32.414   30566.61773627591         29390.41423893068         50.84914814030959         
13 Sep 2024 02:51:04.082   30566.61879724397         29482.08187879063         50.84617055014657         
